"","coefs","pvals"
"bb_lower_diff_rolling_min_65_delta",-0.176500914509939,0.274000270369722
"market_macd_hist_z_score_65",0.585938992534467,0.276368574905948
"market_Open_rolling_stdev_10_delta",1.30689114609783,0.282107625199933
"Volume_rolling_max_10_delta",2.36057278361438,0.28697991512113
"High_rolling_stdev_5_delta",0.242449242479044,0.288595850348337
"macd_hist_rolling_min_21_delta",0.0670843974833986,0.289155881232429
"market_bb_lower_diff_z_score_5",0.359813848389078,0.292636397983734
"market_bb_lower_diff_z_score_5_delta",0.000233545745181757,0.295016624372993
"Close_rolling_min_65_delta",-21.5233507823086,0.295074129016458
"market_bb_upper_band_rolling_min_10_delta",-170.086103105439,0.296785530610304
"bb_lower_diff_z_score_5_delta",0.00917684318831086,0.297601222100109
"High_rolling_min_10_delta",-25.603144065299,0.298163590018495
"market_bb_lower_diff_z_score_21",0.34553604187746,0.299982120782618
"Open_rolling_stdev_5_delta",-0.294739540699755,0.305737564103528
"bb_upper_band_rolling_max_65_delta",-93.0716497666352,0.307367411947913
"market_rsi_rolling_stdev_65_delta",10.9448696075598,0.309226484273575
"market_rsi_rolling_min_5_delta",-0.377641853773998,0.318363169858724
"rsi_rolling_min_10_delta",1.56909535691796,0.320389187573743
"market_Open_z_score_5_delta",-3.03470754703108e-13,0.326215755008267
"bb_upper_diff_z_score_5_delta",0.00537035532443015,0.327950087170313
"market_rsi_z_score_21",0.400784993431848,0.328869108017239
"bb_upper_diff_rolling_mean_5_delta",0.074545225071506,0.332167645657483
"market_bb_lower_diff_rolling_stdev_21_delta",-1.98944374659397,0.334707930293007
"market_rsi_z_score_10",-0.288553647198862,0.338476784029584
"bb_upper_diff_z_score_21_delta",0.00650416787510414,0.340354050558341
"bb_upper_band_rolling_max_10_delta",-77.3381384589254,0.345421840336239
"High_delta",16.3826257698548,0.346243049463298
"Low",0.869480634760825,0.348459878146061
"bb_upper_diff_rolling_stdev_5_delta",0.282880455801125,0.351912138126911
"Open_z_score_10_delta",0.0019888838679733,0.353733054413548
"macd_hist_rolling_mean_65_delta",0.0071028906917301,0.35404113127172
"Close_z_score_10_delta",-0.0039935232271627,0.357860899113766
"market_bb_upper_diff_z_score_10_delta",-0.00238775128054244,0.369126476713915
"market_bb_upper_band_rolling_stdev_5_delta",-0.213397154054372,0.369284681996721
"market_bb_lower_band_z_score_5",0.205305312857704,0.370288274148896
"High_z_score_10",0.507296832231667,0.370499524250391
"market_Open_rolling_max_65_delta",-32.76345126637,0.370805947168569
"market_bb_upper_band_rolling_mean_5_delta",516.549270875189,0.371553740921113
"bb_upper_diff_rolling_min_21_delta",-1.48478764232985,0.372309818457655
"Open_z_score_65_delta",0.0114801292034866,0.373816766318695
"Low_rolling_stdev_65_delta",22.2192034626688,0.37727994781814
"market_macd_hist_z_score_21",0.31821808286801,0.379701006333008
"market_bb_lower_band_rolling_max_10_delta",-89.7185262326967,0.381709455215092
